epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1857.54,0.42669,0.33705,1.09678,0.97504,0.98056,0.98713,0.94001,0.35917,0.27481,0.8316,0.005743,0.005743,0.005743
45,1899.11,0.43087,0.3369,1.09535,0.98913,0.99155,0.9891,0.91876,0.43119,0.26795,0.87372,0.005644,0.005644,0.005644
46,1940.47,0.42107,0.33041,1.09604,0.9878,0.99327,0.99017,0.94374,0.38196,0.26285,0.85261,0.005545,0.005545,0.005545
47,1982.89,0.42819,0.33125,1.09271,0.98787,0.99111,0.98937,0.93715,0.38463,0.28132,0.84893,0.005446,0.005446,0.005446
48,2024.19,0.42748,0.32762,1.0872,0.98782,0.99172,0.99052,0.94529,0.3661,0.24795,0.81705,0.005347,0.005347,0.005347
49,2066.7,0.40886,0.32721,1.08379,0.9863,0.98974,0.9905,0.94249,0.3714,0.25974,0.8399,0.005248,0.005248,0.005248
50,2107.91,0.41715,0.32829,1.0865,0.99209,0.99592,0.98979,0.94016,0.35737,0.23335,0.81197,0.005149,0.005149,0.005149
51,2149.2,0.41347,0.3182,1.08784,0.99336,0.99592,0.99044,0.94284,0.37233,0.246,0.80732,0.00505,0.00505,0.00505
52,2190.44,0.40859,0.32007,1.07973,0.99319,0.99514,0.99021,0.93928,0.3688,0.23804,0.82033,0.004951,0.004951,0.004951
53,2231.65,0.41885,0.32306,1.08912,0.99368,0.99578,0.99042,0.94702,0.35735,0.24056,0.81912,0.004852,0.004852,0.004852
54,2274.13,0.39745,0.31614,1.07453,0.99297,0.99471,0.99108,0.94451,0.35974,0.23602,0.81309,0.004753,0.004753,0.004753
55,2315.35,0.40049,0.30681,1.07483,0.99323,0.99592,0.9908,0.95096,0.34651,0.22288,0.80835,0.004654,0.004654,0.004654
56,2357.91,0.39763,0.3008,1.07362,0.98506,0.99127,0.98825,0.94523,0.3632,0.24551,0.82916,0.004555,0.004555,0.004555
57,2399.12,0.39382,0.3078,1.07267,0.98938,0.99253,0.9908,0.953,0.33475,0.22596,0.79472,0.004456,0.004456,0.004456
58,2441.54,0.3931,0.30321,1.0741,0.99128,0.9903,0.9914,0.94283,0.38186,0.26445,0.86022,0.004357,0.004357,0.004357
59,2482.82,0.39131,0.30678,1.07202,0.99351,0.99592,0.99077,0.94888,0.37076,0.23204,0.82519,0.004258,0.004258,0.004258
60,2524.15,0.38429,0.29038,1.07137,0.99245,0.99592,0.99119,0.94793,0.33288,0.21897,0.79121,0.004159,0.004159,0.004159
61,13560.4,0.38498,0.29979,1.06421,0.99116,0.99592,0.9904,0.95505,0.32996,0.23138,0.79559,0.00406,0.00406,0.00406
62,13603.6,0.37789,0.29345,1.06368,0.98416,0.99592,0.99039,0.94477,0.34946,0.22547,0.80784,0.003961,0.003961,0.003961
63,13645.4,0.37741,0.28704,1.05903,0.99167,0.99592,0.99039,0.95452,0.35833,0.22933,0.81192,0.003862,0.003862,0.003862
64,13686.7,0.38407,0.28719,1.06616,0.99366,0.99317,0.99086,0.955,0.32223,0.22512,0.77153,0.003763,0.003763,0.003763
65,13729.2,0.37545,0.27477,1.06275,0.99245,0.99592,0.98998,0.95145,0.33206,0.21764,0.78651,0.003664,0.003664,0.003664
66,13770.6,0.38124,0.27849,1.06221,0.99272,0.99494,0.99052,0.95685,0.33783,0.2241,0.79882,0.003565,0.003565,0.003565
67,13813.3,0.376,0.28929,1.05932,0.99346,0.99592,0.99042,0.9456,0.33637,0.23311,0.79096,0.003466,0.003466,0.003466
68,13855.6,0.36947,0.27753,1.05647,0.99259,0.99592,0.99018,0.95563,0.32386,0.21132,0.77343,0.003367,0.003367,0.003367
69,13898.9,0.36856,0.27306,1.05784,0.99444,0.99592,0.99022,0.95962,0.31547,0.21659,0.7679,0.003268,0.003268,0.003268
70,13943.4,0.35806,0.26374,1.0475,0.99021,0.99237,0.98989,0.95937,0.32216,0.22117,0.76872,0.003169,0.003169,0.003169
71,13986.4,0.36059,0.26894,1.05431,0.99344,0.99592,0.99056,0.95736,0.32853,0.21755,0.77511,0.00307,0.00307,0.00307
72,14029.2,0.35341,0.26423,1.04854,0.99453,0.99592,0.99053,0.954,0.31222,0.204,0.75344,0.002971,0.002971,0.002971
